id,num_recipients,school,school_type,state,zip_code,avg_disbursed_loan,zip_median_household_income,degree_length,room_and_board_price,in_state_tuition,out_of_state_tuition,early_career_pay_estimate,mid_career_pay_estimate,stem_percent,total_enrollment,american_indian_alaska_native_enrolled,asian_enrolled,black_enrolled,hispanic_enrolled,native_hawaiian_pacific_islander_enrolled,non_resident_foreign_enrolled,total_minority_enrolled,two_or_more_races_enrolled,unknown_enrolled,white_enrolled,women_enrolled,county_name,county_labor_force,county_employed,county_unemployed
123,1,BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY,PUBLIC,MA,2116,2363.0,85419,2 Year,12400.0,18690,18690,,,,507,2,45,149,103,2,4,318,17,35,150,52,Suffolk,393897,364690,29207
124,45,PITZER COLLEGE,PRIVATE,CA,91711,3096.622406639004,82623,4 Year,16844.0,54056,54056,,,,1076,5,61,46,163,2,75,379,102,86,536,622,Los Angeles,4940672,4318722,621950
125,13,POMONA COLLEGE,PRIVATE,CA,91711,4352.269911504425,82623,4 Year,16716.0,52780,52780,63800.0,117200.0,37.0,1650,4,213,109,232,2,154,682,122,112,702,838,Los Angeles,4940672,4318722,621950
126,99,DONNELLY COLLEGE,PRIVATE,KS,66102,980.1746031746032,30339,2 Year,,9000,9000,,,,463,2,46,135,183,0,27,390,24,0,46,329,Wyandotte,74897,67492,7405
127,58,CHIPOLA COLLEGE,PUBLIC,FL,32446,1667.0474308300395,58191,2 Year,,3160,8990,,,,2080,14,12,301,82,2,0,466,55,8,1606,1318,Jackson,18782,17131,1651
128,669,TUSKEGEE UNIVERSITY,PRIVATE,AL,36088,3151.014711359404,30655,4 Year,9650.0,22170,22170,54500.0,93500.0,30.0,3103,2,26,2345,32,0,20,2405,0,626,52,1855,Macon,8928,7635,1293
129,9,MICHIGAN JEWISH INSTITUTE,PRIVATE,MI,48322,1103.125,87719,4 Year,,10600,10600,,,,837,0,0,0,0,0,4,0,0,0,833,763,Oakland,617349,547238,70111
130,173,BLUFFTON UNIVERSITY,PRIVATE,OH,45817,2407.9598337950138,59500,4 Year,10800.0,32766,32766,,,,1094,0,7,59,34,0,6,120,20,26,942,554,Allen,52085,46498,5587
131,226,UNIVERSITY OF DUBUQUE,PRIVATE,IA,52001,2264.4363265306124,41109,4 Year,9930.0,34110,34110,44200.0,79700.0,7.0,2121,11,41,226,142,4,59,484,60,170,1408,931,Dubuque,54082,50899,3183
132,156,HARFORD COMMUNITY COLLEGE,PUBLIC,MD,21015,1570.2841530054643,98818,2 Year,,4644,10075,,,,6714,24,144,1027,311,15,66,1726,205,49,4873,3956,Harford,133007,122387,10620
133,826,CLACKAMAS COMMUNITY COLLEGE,PUBLIC,OR,97045,1356.9230028873917,63844,2 Year,,4944,12414,,,,7302,82,238,151,783,26,49,1587,307,915,4751,3569,Clackamas,203414,182789,20625
134,2533,TEXAS SOUTHERN UNIVERSITY,PUBLIC,TX,77004,2734.491050722483,34079,4 Year,10282.0,9173,21623,,,,9233,42,453,7231,680,5,514,8411,0,29,279,5354,Harris,2067209,1894670,172539
135,44,DALLAS CHRISTIAN COLLEGE,PRIVATE,TX,75234,2042.1965811965813,55222,4 Year,9010.0,17620,17620,,,,309,3,0,91,57,2,3,163,10,2,141,133,Dallas,1195683,1092540,103143
136,247,SOUTHWEST TEXAS JUNIOR COLLEGE,PUBLIC,TX,78801,1754.238805970149,34787,2 Year,4600.0,2978,5808,,,,5572,45,24,56,4686,3,0,4838,24,50,684,3308,Uvalde,11844,10779,1065
137,1107,COMMUNITY COLLEGE OF VERMONT,PUBLIC,VT,5404,1171.2889755011136,44405,2 Year,,8190,16230,,,,6019,52,79,111,158,2,151,664,262,190,5014,4107,Chittenden,94608,89890,4718
138,865,UNIVERSITY OF THE CUMBERLANDS,PRIVATE,KY,40769,1915.0362473347548,26897,4 Year,9000.0,23000,23000,39800.0,73800.0,8.0,5736,18,30,310,95,2,112,474,19,662,4488,3667,Whitley,14200,12397,1803
139,223,OKLAHOMA CHRISTIAN UNIVERSITY,PRIVATE,OK,73013,2414.116797358646,75530,4 Year,8190.0,22760,22760,49700.0,87900.0,41.0,2475,48,203,308,142,1,0,855,153,1,1619,1143,Oklahoma,353861,332961,20900
140,90,SALEM COMMUNITY COLLEGE,PUBLIC,NJ,8069,1609.3476394849786,41074,2 Year,,5070,6600,,,,1173,7,20,201,55,5,0,340,52,208,625,690,Salem,32188,28384,3804
141,2897,GEORGE MASON UNIVERSITY,PUBLIC,VA,22030,3407.8361573296697,99845,4 Year,11460.0,12462,35922,58900.0,105700.0,23.0,33729,72,5001,3153,3420,122,2136,12977,1209,2245,16371,18123,Fairfax,611055,579209,31846
142,195,LAKE ERIE COLLEGE,PRIVATE,OH,44077,2266.0813953488373,54722,4 Year,9908.0,31422,31422,,,,1155,4,8,164,20,0,39,224,28,29,863,587,Lake,128330,118120,10210
143,410,WESTERN NEW MEXICO UNIVERSITY,PUBLIC,NM,88061,2611.808075221239,38259,4 Year,9136.0,6824,15231,41700.0,76700.0,4.0,3557,100,46,145,1442,5,49,1755,17,760,993,2220,Grant,12247,11110,1137
144,102,RIPON COLLEGE,PRIVATE,WI,54971,2057.985324947589,50228,4 Year,8400.0,43808,43808,46300.0,89600.0,26.0,840,2,12,19,40,0,30,88,15,19,703,448,Fond du Lac,56550,51832,4718
145,242,SPELMAN COLLEGE,PRIVATE,GA,30314,3494.9179750947483,22400,4 Year,13865.0,29314,29314,50200.0,85400.0,24.0,2135,3,2,1855,7,0,32,1925,58,177,1,2135,Fulton,486278,434852,51426
146,222,MADISONVILLE COMMUNITY COLLEGE,PUBLIC,KY,42431,1327.7923228346456,38872,2 Year,,5310,18000,,,,4433,15,21,244,71,3,2,398,44,255,3778,2274,Hopkins,21318,19237,2081
147,370,JOHN WOOD COMMUNITY COLLEGE,PUBLIC,IL,62305,1124.2341239479724,58272,2 Year,,4890,8190,,,,1900,4,11,80,24,0,0,154,35,54,1692,1105,Adams,34827,32120,2707
148,155,WEBBER INTERNATIONAL UNIVERSITY,PRIVATE,FL,33827,1739.1783733826248,48508,4 Year,9150.0,26116,26116,,,,732,2,9,147,81,0,182,253,14,4,293,245,Polk,275957,243488,32469
149,192,HOUGHTON COLLEGE,PRIVATE,NY,14744,2278.5856164383563,49792,4 Year,9288.0,32488,32488,,,,1073,2,17,26,20,0,93,107,42,26,847,683,Allegany,24270,22004,2266
150,0,GADSDEN STATE COMMUNITY COLLEGE,PUBLIC,AL,35903,1200.0,34817,2 Year,3600.0,4800,8430,,,,5289,68,27,1053,155,9,101,1411,99,84,3693,3121,Etowah,44018,39278,4740
151,65,MARION MILITARY INSTITUTE,PUBLIC,AL,36756,1607.4611528822056,30629,2 Year,4950.0,9418,15418,,,,439,5,15,101,44,2,0,181,14,7,251,86,Perry,3885,3243,642
152,477,NORTHEAST STATE COMMUNITY COLLEGE,PUBLIC,TN,37617,1391.783308195073,50482,2 Year,,4451,17357,,,,5865,22,29,145,108,1,16,397,92,97,5355,3120,Sullivan,73678,66902,6776
153,20,BOISE BIBLE COLLEGE,PRIVATE,ID,83714,2215.78,46352,4 Year,6200.0,12520,12520,,,,175,3,1,2,9,0,1,18,3,6,150,86,Ada,197285,181222,16063
154,803,ABILENE CHRISTIAN UNIVERSITY,PRIVATE,TX,79699,2596.9143884892087,-,4 Year,10350.0,34850,34850,,,,4427,18,46,387,582,0,185,1212,179,71,2959,2562,Taylor,64370,59989,4381
155,712,NYACK COLLEGE,PRIVATE,NY,10960,3046.604759299781,71160,4 Year,9450.0,25350,25350,,,,2896,7,360,904,777,6,161,2099,45,84,552,1730,Rockland,150109,138686,11423
156,2922,LINDENWOOD UNIVERSITY,PRIVATE,MO,63301,2604.368020872158,56092,4 Year,9000.0,17600,17600,45100.0,78500.0,9.0,12151,46,58,2019,374,21,1191,2825,307,1305,6830,7131,St. Charles,204342,187742,16600
157,305,MOUNT ALOYSIUS COLLEGE,PRIVATE,PA,16630,2063.909640831758,40454,4 Year,10648.0,23110,23110,,,,1867,4,4,48,17,0,23,73,0,494,1277,1342,Cambria,66525,60435,6090
158,130,GETTYSBURG COLLEGE,PRIVATE,PA,17325,2857.4937526928047,57325,4 Year,13010.0,54480,54480,58400.0,109300.0,24.0,2447,1,45,87,113,0,92,316,70,80,1959,1284,Adams,54433,50354,4079
159,54,FLORIDA COLLEGE,PRIVATE,FL,33617,2420.966336633664,39551,4 Year,8370.0,17142,17142,,,,555,8,4,28,21,3,9,94,30,1,451,278,Hillsborough,640114,573638,66476
160,8,COTTEY COLLEGE,PRIVATE,MO,64772,1835.6742424242425,38407,4 Year,7700.0,21150,21150,,,,269,6,1,13,28,1,31,65,16,0,173,269,Vernon,9532,8750,782
161,82,HENDRIX COLLEGE,PRIVATE,AR,72032,3267.346853146853,44370,4 Year,12284.0,45790,45790,48100.0,90300.0,33.0,1358,22,77,65,65,1,76,239,9,6,1037,746,Faulkner,58662,54585,4077
162,442,WALLA WALLA COMMUNITY COLLEGE,PUBLIC,WA,99362,1264.537353255069,46544,2 Year,,5041,6319,,,,4851,96,36,261,783,27,7,1404,201,408,3032,2111,Walla Walla,29975,27811,2164
163,16,SOUTHWESTERN CHRISTIAN COLLEGE,PRIVATE,TX,75160,1440.625,44074,4 Year,6042.0,8364,8364,,,,164,2,0,128,11,0,16,144,3,0,4,77,Kaufman,50877,46540,4337
164,308,ALPENA COMMUNITY COLLEGE,PUBLIC,MI,49707,1619.722972972973,36996,2 Year,,4530,6840,,,,1636,20,13,28,16,2,0,79,0,6,1551,868,Alpena,14130,12328,1802
165,137,CARL ALBERT STATE COLLEGE,PUBLIC,OK,74953,1272.8045977011495,43701,2 Year,4000.0,3818,7943,,,,2241,471,10,79,116,4,41,874,194,13,1313,1473,Le Flore,20690,18831,1859
166,75,GREAT LAKES CHRISTIAN COLLEGE,PRIVATE,MI,48917,2000.8473520249224,53649,4 Year,8800.0,17220,17220,,,,160,0,2,36,0,0,3,42,4,12,103,62,Eaton,56702,51387,5315
167,727,CORNERSTONE UNIVERSITY,PRIVATE,MI,49525,2188.588383838384,57473,4 Year,9300.0,24500,24500,,,,2770,17,35,375,114,3,59,555,11,0,2156,1592,Kent,313539,282588,30951
168,111,SARAH LAWRENCE COLLEGE,PRIVATE,NY,10708,3783.749063670412,96580,4 Year,15370.0,55900,55900,,,,1761,1,67,71,151,1,224,382,91,156,999,1288,Westchester,479056,443099,35957
169,290,AVILA UNIVERSITY,PRIVATE,MO,64145,2724.289146644573,70705,4 Year,7200.0,19900,19900,45900.0,81200.0,3.0,1907,14,31,359,125,5,196,577,43,0,1134,1245,Jackson,359453,321363,38090
170,66,JOHN A. LOGAN COLLEGE,PUBLIC,IL,62918,1564.6511627906978,49662,2 Year,,3600,5940,,,,6718,16,70,529,167,21,0,867,64,463,5388,3897,Williamson,32485,29292,3193
171,148,LAREDO COMMUNITY COLLEGE,PUBLIC,TX,78040,1043.0176211453745,22055,2 Year,,4080,7140,,,,8307,3,21,15,8105,0,9,8152,8,10,136,4619,Webb,105189,96457,8732
172,32,NEWBURY COLLEGE,PRIVATE,MA,2445,10422.583333333334,108313,4 Year,14900.0,35540,35540,,,,874,1,49,313,122,0,28,518,33,0,328,498,Norfolk,358241,332356,25885
173,171,BERRY COLLEGE,PRIVATE,GA,30149,2548.552194543298,-,4 Year,12770.0,36556,36556,44900.0,84900.0,21.0,2177,2,26,93,134,3,19,320,62,32,1806,1335,Floyd,45235,39799,5436
174,182,ELLSWORTH COMMUNITY COLLEGE,PUBLIC,IA,50126,1516.500889679715,44094,2 Year,5970.0,5970,7140,,,,949,4,1,167,59,3,13,254,20,93,589,440,Hardin,9110,8506,604
175,1964,HARDING UNIVERSITY,PRIVATE,AR,72149,2786.7308554351885,-,4 Year,7044.0,20135,20135,49200.0,88600.0,10.0,6059,46,86,303,158,1,338,681,87,28,5012,3472,White,36409,33516,2893
176,280,QUINCY UNIVERSITY,PRIVATE,IL,62301,2816.784184514004,38898,4 Year,10500.0,28462,28462,,,,1279,7,19,121,39,7,6,209,16,193,871,749,Adams,34827,32120,2707
177,87,MOUNT IDA COLLEGE,PRIVATE,MA,2459,2739.9827890556044,130313,4 Year,13680.0,35720,35720,,,,1320,3,32,140,144,1,90,358,38,97,775,873,Middlesex,825858,770355,55503
178,417,YAVAPAI COLLEGE,PUBLIC,AZ,86301,1328.0201192250372,41321,2 Year,9698.0,2610,10980,,,,7842,154,60,72,975,10,16,1355,84,2299,4172,4360,Yavapai,96734,86472,10262
179,83,SPOON RIVER COLLEGE,PUBLIC,IL,61520,1486.125448028674,41067,2 Year,,4950,11370,,,,1667,7,20,108,43,0,1,183,5,0,1483,961,Fulton,17564,15489,2075
180,208,SANTA ANA COLLEGE,PUBLIC,CA,92706,2000.4814814814813,60574,2 Year,,1418,10208,,,,29590,75,2427,424,15180,88,265,18607,413,4387,6331,11251,Orange,1537701,1383916,153785
181,566,FRANCIS MARION UNIVERSITY,PUBLIC,SC,29506,2443.1917926565875,30914,4 Year,7948.0,11160,21544,42900.0,77600.0,18.0,3944,11,47,1778,56,2,63,1932,38,45,1904,2769,Florence,64740,57303,7437
182,703,ANTELOPE VALLEY COLLEGE,PUBLIC,CA,93536,2164.0871754107047,72232,2 Year,,1420,9760,,,,14578,61,473,3021,6748,24,16,11010,683,182,3370,8644,Los Angeles,4940672,4318722,621950
183,170,SCHREINER UNIVERSITY,PRIVATE,TX,78028,2073.672879177378,44327,4 Year,10508.0,27960,27960,,,,1128,1,8,41,349,0,8,442,43,0,678,646,Kerr,21948,20477,1471
184,372,EDWARD WATERS COLLEGE,PRIVATE,FL,32209,2000.854700854701,22818,4 Year,7282.0,13725,13725,,,,929,0,1,818,28,2,0,875,26,20,34,429,Duval,450860,401244,49616
185,65,WEST VALLEY COLLEGE,PUBLIC,CA,95070,1189.0190476190476,153563,2 Year,,1418,9158,,,,9062,18,1489,248,2281,28,96,4529,465,271,4166,5059,Santa Clara,926868,828008,98860
186,103,HARTWICK COLLEGE,PRIVATE,NY,13820,2932.531347265451,39165,4 Year,12460.0,45510,45510,,,,1540,6,31,120,107,0,53,264,0,180,1043,936,Otsego,31907,29443,2464
187,1154,ANNE ARUNDEL COMMUNITY COLLEGE,PUBLIC,MD,21012,2099.0937066814527,104488,2 Year,,4110,12180,,,,15274,84,583,2555,916,42,139,4660,480,1133,9342,9093,Anne Arundel,286473,266214,20259
188,730,MINNESOTA WEST COMMUNITY AND TECHNICAL COLLEGE,PUBLIC,MN,56241,2056.7030490499337,49222,2 Year,,5692,5692,,,,3182,28,82,152,194,3,3,517,58,174,2488,1824,Yellow Medicine,5882,5511,371
189,36,COLLEGE OF SAN MATEO,PUBLIC,CA,94402,2078.834645669291,109093,2 Year,,1418,8648,,,,8935,15,2137,298,2733,179,299,5814,452,165,2657,4454,San Mateo,392869,359249,33620
190,104,BRESCIA UNIVERSITY,PRIVATE,KY,42301,2296.046476761619,41614,4 Year,9200.0,22400,22400,44300.0,81200.0,7.0,1056,9,3,133,63,2,10,210,0,132,704,771,Daviess,47121,42700,4421
191,305,UNIVERSITY OF MOUNT UNION,PRIVATE,OH,44601,2269.186144578314,36700,4 Year,10200.0,31260,31260,48300.0,88500.0,19.0,2262,4,15,122,41,0,62,267,85,82,1851,1134,Stark,192248,170423,21825
192,49,DALLAS INSTITUTE OF FUNERAL SERVICE,PRIVATE,TX,75227,1357.4146341463415,37395,2 Year,,11870,11870,,,,128,1,0,36,24,0,0,61,0,0,67,75,Dallas,1195683,1092540,103143
193,103,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES,PRIVATE,NY,12208,3584.666301369863,54826,4 Year,10920.0,35105,35105,81000.0,144800.0,2.0,1563,4,228,59,63,2,118,372,16,86,987,932,Albany,161626,150137,11489
194,716,MAYSVILLE COMMUNITY AND TECHNICAL COLLEGE,PUBLIC,KY,41056,1403.960705960706,39697,2 Year,,5310,18000,,,,3478,8,7,112,44,2,2,214,41,37,3225,2166,Mason,7937,7033,904
195,996,TRUCKEE MEADOWS COMMUNITY COLLEGE,PUBLIC,NV,89512,1953.1746157922628,31502,2 Year,,3338,10250,,,,11106,150,621,240,2742,14,49,4131,364,181,6745,6156,Washoe,220840,191887,28953
196,394,NEUMANN UNIVERSITY,PRIVATE,PA,19014,2532.9316708229426,75788,4 Year,13020.0,31400,31400,,,,3047,4,37,619,77,1,33,788,50,588,1638,1988,Delaware,285261,263174,22087
197,26,OHIO UNIVERSITY,PUBLIC,OH,45701,5352.4375,32366,4 Year,11830.0,12192,21656,,,,29217,43,355,1488,754,21,1843,3482,821,555,23337,16965,Athens,28676,25621,3055
198,720,SOUTHWESTERN OKLAHOMA STATE UNIVERSITY,PUBLIC,OK,73096,2400.600220264317,45473,4 Year,5830.0,7035,13935,47900.0,90800.0,5.0,4994,210,145,261,350,6,175,1335,363,101,3383,2929,Custer,14146,13446,700
199,47,COLBY-SAWYER COLLEGE,PRIVATE,NH,3257,2444.860302677532,67434,4 Year,14264.0,42398,42398,46400.0,83700.0,7.0,1369,3,21,88,41,1,139,161,7,209,860,949,Merrimack,81506,76943,4563
200,100,MOUNT MARTY COLLEGE,PRIVATE,SD,57078,2855.278020378457,50778,4 Year,7986.0,27276,27276,41400.0,76500.0,5.0,1236,29,13,34,64,5,0,145,0,2,1089,727,Yankton,11487,10932,555
201,1201,MID MICHIGAN COMMUNITY COLLEGE,PUBLIC,MI,48625,1876.521425710853,30661,2 Year,,4744,7080,,,,4422,72,11,121,134,8,135,374,28,292,3621,2564,Clare,12407,10533,1874
202,1345,CHICAGO STATE UNIVERSITY,PUBLIC,IL,60628,2610.958730527784,40248,4 Year,8724.0,12177,20877,,,,5211,11,124,3585,356,2,360,4078,0,502,271,3633,Cook,2640576,2350480,290096
203,554,OHIO CHRISTIAN UNIVERSITY,PRIVATE,OH,43113,2639.283082077052,46785,4 Year,8076.0,23306,23306,,,,4058,16,23,1107,90,0,18,1314,78,673,2053,2527,Pickaway,26143,23366,2777
204,586,LINCOLN MEMORIAL UNIVERSITY,PRIVATE,TN,37752,2556.108935742972,44034,4 Year,8000.0,22010,22010,,,,3735,10,177,186,13,0,50,450,64,328,2907,2368,Claiborne,13633,12136,1497
205,246,PRAIRIE STATE COLLEGE,PUBLIC,IL,60411,2024.7786561264825,43346,2 Year,,5220,13830,,,,4574,16,23,2564,626,1,0,3322,92,185,1067,2666,Cook,2640576,2350480,290096
206,340,WAKE FOREST UNIVERSITY,PRIVATE,NC,27109,5407.617397714707,-,4 Year,16032.0,53322,53322,60700.0,114800.0,13.0,7788,21,331,647,433,40,491,1638,166,105,5554,3992,Forsyth,173644,156216,17428
207,722,ROSE STATE COLLEGE,PUBLIC,OK,73110,1712.3451957295374,37927,2 Year,6370.0,4319,10696,,,,6891,351,141,1104,366,15,16,2608,631,369,3898,4153,Oklahoma,353861,332961,20900
208,1532,METROPOLITAN STATE UNIVERSITY,PUBLIC,MN,55106,2947.000477251034,42983,4 Year,,7879,14980,50200.0,85900.0,11.0,8355,56,1007,1499,397,9,182,3314,346,220,4639,4709,Ramsey,270269,250065,20204
209,139,PASSAIC COUNTY COMMUNITY COLLEGE,PUBLIC,NJ,7505,1677.2044817927172,16849,2 Year,,5070,8850,,,,8968,11,482,1372,4638,40,55,6599,56,613,1701,5423,Passaic,254275,225041,29234
210,424,ROANE STATE COMMUNITY COLLEGE,PUBLIC,TN,37748,1755.8608515057113,38168,2 Year,,4443,17349,,,,5832,20,50,134,132,2,13,474,136,61,5284,3828,Roane,24340,22065,2275
211,146,PACIFIC NORTHWEST COLLEGE OF ART,PRIVATE,OR,97209,2935.5876591576884,35618,4 Year,12860.0,38250,38250,46300.0,85000.0,0.0,519,7,12,5,27,1,13,114,62,19,373,357,Multnomah,420658,379568,41090
212,1506,UNIVERSITY OF NEW HAMPSHIRE,PUBLIC,NH,3824,2621.806197276286,69333,4 Year,11580.0,18499,33879,,,,15117,32,320,168,446,2,551,1183,215,1475,11908,8277,Strafford,69674,65540,4134
213,161,CALIFORNIA INSTITUTE OF THE ARTS,PRIVATE,CA,91355,4321.60995113283,86721,4 Year,12069.0,49276,49276,,,,1471,8,172,93,178,10,164,553,92,165,589,819,Los Angeles,4940672,4318722,621950
214,2174,JEFFERSON COMMUNITY AND TECHNICAL COLLEGE,PUBLIC,KY,40202,1693.91375455936,18584,2 Year,,5310,18000,,,,13550,53,345,3255,701,21,72,4755,380,184,8539,7936,Jefferson,380641,342218,38423
215,3,PONTIFICAL COLLEGE JOSEPHINUM,PRIVATE,OH,43235,2307.692307692308,63040,4 Year,10600.0,23285,23285,,,,226,0,4,3,16,0,13,23,0,8,182,1,Franklin,627864,571892,55972
216,307,SACRAMENTO CITY COLLEGE,PUBLIC,CA,95822,2069.827943615257,47627,2 Year,,1416,9546,,,,23317,131,4578,2883,6858,287,352,16133,1396,427,6405,13201,Sacramento,683829,595476,88353
217,1,HARRISBURG AREA COMMUNITY COLLEGE,PUBLIC,PA,17110,3980.0,57833,2 Year,,6683,9135,,,,20230,67,622,2154,2011,43,378,5425,528,490,13937,12670,Dauphin,140162,129234,10928
218,95,RHODES COLLEGE,PRIVATE,TN,38112,2865.0079365079364,31358,4 Year,11403.0,47890,47890,51900.0,97800.0,25.0,2054,6,133,128,73,0,59,402,62,46,1547,1189,Shelby,449117,404611,44506
219,211,KANKAKEE COMMUNITY COLLEGE,PUBLIC,IL,60901,1313.1142433234422,39833,2 Year,,4620,22382,,,,3378,11,39,497,328,5,5,913,33,70,2390,2061,Kankakee,56343,49205,7138
220,599,UNIVERSITY OF HARTFORD,PRIVATE,CT,6117,2837.9908292430896,109142,4 Year,12476.0,40694,40694,55200.0,101600.0,15.0,6817,16,232,865,612,5,484,1876,146,504,3953,3500,Hartford,479530,431989,47541
221,1964,LIFE UNIVERSITY,PRIVATE,GA,30060,4253.547282307266,37496,4 Year,14400.0,13194,13194,,,,2754,20,81,482,276,0,80,859,0,514,1301,1328,Cobb,381245,345298,35947
222,346,PARIS JUNIOR COLLEGE,PUBLIC,TX,75460,1497.0631296171928,30371,2 Year,5000.0,2400,5400,,,,5086,97,44,566,631,3,12,1389,48,2,3683,3066,Lamar,23334,21156,2178
223,184,LABOURE COLLEGE,PRIVATE,MA,2124,2568.9173014145813,44730,2 Year,,36863,36863,,,,757,1,21,211,45,1,0,285,6,32,440,683,Suffolk,393897,364690,29207
224,284,LEWIS AND CLARK COMMUNITY COLLEGE,PUBLIC,IL,62035,1217.8555555555556,55147,2 Year,,4440,15690,,,,7903,50,52,602,105,16,4,834,9,546,6519,4317,Madison,138482,124794,13688
225,1511,MISSISSIPPI STATE UNIVERSITY,PUBLIC,MS,39762,3386.703327693175,33438,4 Year,10090.0,8760,23360,51100.0,94100.0,27.0,20138,104,263,3871,457,17,780,4985,273,164,14209,9786,Oktibbeha,21743,19580,2163
226,1,NORTHWEST MISSOURI STATE UNIVERSITY,PUBLIC,MO,64468,2625.0,35499,4 Year,10016.0,9805,16457,46900.0,85100.0,26.0,6720,20,39,374,182,8,708,790,167,241,4981,3595,Nodaway,11710,10871,839
227,579,LEWIS & CLARK COLLEGE,PRIVATE,OR,97219,4713.780653111522,74841,4 Year,12490.0,50934,50934,50000.0,93200.0,12.0,3504,55,226,74,287,10,237,680,28,279,2308,2104,Multnomah,420658,379568,41090
228,1294,INVER HILLS COMMUNITY COLLEGE,PUBLIC,MN,55076,2386.2437199358637,61126,2 Year,,5332,5332,,,,5958,23,342,621,541,13,33,1815,275,187,3923,3493,Dakota,227404,211524,15880
229,300,HARCUM COLLEGE,PRIVATE,PA,19010,2117.414856341976,98273,2 Year,10200.0,24200,24200,,,,1588,3,39,752,151,0,61,945,0,84,498,1290,Delaware,285261,263174,22087
230,17,KUYPER COLLEGE,PRIVATE,MI,49525,1874.8321167883207,57473,4 Year,7285.0,21989,21989,,,,270,2,7,9,4,0,16,33,11,12,209,148,Kent,313539,282588,30951
231,54,HOWARD PAYNE UNIVERSITY,PRIVATE,TX,76801,2307.9991532599493,38198,4 Year,8386.0,28090,28090,,,,1137,3,4,88,243,1,0,374,35,32,731,560,Brown,16457,15098,1359
232,433,ALBERTUS MAGNUS COLLEGE,PRIVATE,CT,6511,2193.7306306306305,38826,4 Year,13200.0,32060,32060,49700.0,85900.0,2.0,1550,6,7,515,217,2,11,767,20,125,647,1031,New Haven,462399,413886,48513
233,1340,MILLERSVILLE UNIVERSITY OF PENNSYLVANIA,PUBLIC,PA,17551,2286.163630718278,54497,4 Year,13658.0,12226,21946,,,,8047,16,178,719,613,7,58,1709,176,40,6240,4619,Lancaster,267223,247816,19407
234,3849,UNIVERSITY OF NORTHWESTERN OHIO,PRIVATE,OH,45805,738.0485180118559,45752,4 Year,2850.0,10650,10650,,,,4111,17,10,146,98,6,96,280,3,989,2746,867,Allen,52085,46498,5587
235,294,SHASTA COLLEGE,PUBLIC,CA,96049,2032.4576687116564,18500,2 Year,,1418,8438,,,,8342,222,278,125,1185,35,18,2212,367,284,5828,4867,Siskiyou,19672,16283,3389
236,891,TRINE UNIVERSITY,PRIVATE,IN,46703,1991.227826579768,47767,4 Year,10810.0,32175,32175,55100.0,100300.0,26.0,2831,12,48,86,148,4,151,372,74,195,2113,1193,Steuben,18439,16439,2000
237,1,QUINSIGAMOND COMMUNITY COLLEGE,PUBLIC,MA,1606,2200.0,60234,2 Year,,6720,12900,,,,8452,32,368,1038,1394,9,21,3010,169,508,4913,4844,Worcester,420308,384217,36091
238,366,WARNER UNIVERSITY,PRIVATE,FL,33859,2840.3068783068784,38618,4 Year,8520.0,21840,21840,,,,1161,3,11,466,151,9,21,664,24,29,447,578,Polk,275957,243488,32469
239,0,CORNELL UNIVERSITY,PRIVATE,NY,14853,8163.666666666667,-,4 Year,14816.0,55188,55188,70100.0,128200.0,43.0,21679,64,3129,1059,1994,15,4384,7023,762,1673,8599,10507,Tompkins,54798,51355,3443
240,338,LEHIGH UNIVERSITY,PRIVATE,PA,18015,2855.426502018523,42494,4 Year,13600.0,52930,52930,69500.0,134100.0,52.0,7119,7,479,239,475,1,1107,1340,139,363,4309,3179,Northampton,151396,138493,12903
241,429,FLATHEAD VALLEY COMMUNITY COLLEGE,PUBLIC,MT,59901,2176.3135409123825,44636,2 Year,,4638,11778,,,,2161,57,25,7,31,12,1,132,0,263,1765,1269,Flathead,43844,38579,5265
242,22,ASNUNTUCK COMMUNITY COLLEGE,PUBLIC,CT,6082,1761.1754385964912,67809,2 Year,,4404,13170,,,,1603,4,54,144,127,1,0,360,30,53,1190,838,Hartford,479530,431989,47541
243,842,WALDEN UNIVERSITY,PROPRIETARY,MN,55401,3500.9474120082814,76353,4 Year,,15045,15045,,,,52188,267,1343,18914,3021,116,539,24751,1090,6618,20280,39871,Hennepin,651084,605608,45476
244,27,ROSEDALE BIBLE COLLEGE,PRIVATE,OH,43029,933.936936936937,44500,2 Year,5650.0,8731,8731,,,,57,0,0,0,0,0,1,0,0,0,56,27,Madison,20699,18823,1876
245,742,EMORY UNIVERSITY,PRIVATE,GA,30322,4345.529331046312,-,4 Year,14456.0,51306,51306,62000.0,110800.0,20.0,14769,26,2281,1474,874,8,2357,5001,338,776,6635,8349,DeKalb,363973,324087,39886
246,790,SIENA HEIGHTS UNIVERSITY,PRIVATE,MI,49221,2789.863683662851,42113,4 Year,10620.0,27124,27124,,,,2642,14,29,321,104,6,73,536,62,303,1730,1514,Lenawee,49318,43076,6242
247,57,HASTINGS COLLEGE,PRIVATE,NE,68901,2336.28600269179,44312,4 Year,9700.0,30050,30050,48600.0,87100.0,14.0,1212,6,16,41,67,4,22,167,33,13,1010,591,Adams,16472,15677,795
